"correct","time_1","double_response","time_2"
TRUE,0.7756,FALSE,NA
TRUE,0.5298,FALSE,NA
TRUE,0.6297,FALSE,NA
TRUE,0.5841,FALSE,NA
FALSE,0.7531,FALSE,NA
TRUE,0.8588,FALSE,NA
TRUE,0.8213,FALSE,NA
TRUE,1.1687,FALSE,NA
TRUE,0.5663,FALSE,NA
TRUE,0.7215,FALSE,NA
TRUE,0.6539,FALSE,NA
TRUE,0.6237,FALSE,NA
FALSE,0.4873,FALSE,NA
TRUE,0.5589,FALSE,NA
TRUE,0.9351,FALSE,NA
FALSE,0.3796,FALSE,NA
TRUE,0.6886,FALSE,NA
TRUE,0.5797,FALSE,NA
TRUE,1.051,FALSE,NA
TRUE,0.8084,FALSE,NA
TRUE,0.6901,FALSE,NA
TRUE,0.6289,FALSE,NA
TRUE,0.6554,FALSE,NA
TRUE,0.9028,FALSE,NA
TRUE,0.5002,FALSE,NA
FALSE,0.5438,FALSE,NA
TRUE,0.6865,FALSE,NA
TRUE,0.6663,FALSE,NA
TRUE,1.1612,FALSE,NA
TRUE,0.6211,FALSE,NA
TRUE,0.6315,FALSE,NA
TRUE,0.8425,FALSE,NA
TRUE,0.617,FALSE,NA
TRUE,0.6547,FALSE,NA
TRUE,0.8239,FALSE,NA
TRUE,0.6544,FALSE,NA
TRUE,0.7525,FALSE,NA
TRUE,0.5781,FALSE,NA
TRUE,0.6561,FALSE,NA
FALSE,0.6121,FALSE,NA
TRUE,0.684,FALSE,NA
TRUE,1.2891,FALSE,NA
TRUE,0.8516,FALSE,NA
TRUE,0.5581,FALSE,NA
TRUE,0.551,FALSE,NA
TRUE,0.5612,FALSE,NA
TRUE,0.5946,FALSE,NA
FALSE,0.6324,FALSE,NA
TRUE,1.0123,FALSE,NA
TRUE,0.5655,FALSE,NA
TRUE,0.6496,FALSE,NA
TRUE,0.6975,FALSE,NA
TRUE,0.6473,FALSE,NA
TRUE,0.4819,FALSE,NA
TRUE,0.6217,FALSE,NA
TRUE,0.4676,FALSE,NA
TRUE,0.5434,FALSE,NA
TRUE,0.5458,FALSE,NA
TRUE,0.5279,FALSE,NA
TRUE,1.0463,FALSE,NA
TRUE,0.5765,FALSE,NA
TRUE,0.5659,FALSE,NA
TRUE,0.625,FALSE,NA
TRUE,0.6091,FALSE,NA
TRUE,0.5323,FALSE,NA
TRUE,0.5449,FALSE,NA
TRUE,0.5753,FALSE,NA
TRUE,0.5822,FALSE,NA
TRUE,0.8151,FALSE,NA
TRUE,0.7763,FALSE,NA
TRUE,0.6962,FALSE,NA
TRUE,0.5699,FALSE,NA
TRUE,0.5308,FALSE,NA
TRUE,0.4636,FALSE,NA
TRUE,0.5882,FALSE,NA
TRUE,0.8612,FALSE,NA
TRUE,0.5235,FALSE,NA
TRUE,1.0983,FALSE,NA
